baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TSPAN6	7.02197872780417	-0.393056247019077	0.195105324842225	-2.01458492912446	0.0439481578929502	0.104205547921476
TNMD	0.741176604837096	-2.61120514137635	1.06403162929286	-2.45406721895263	0.0141250575002277	0.042449467511443
DPM1	6.3551185448632	0.403923618691948	0.277555675332585	1.45528863067902	0.145589372823169	0.257392182332944
SCYL3	6.47809083732143	0.533374685241813	0.177770037001169	3.00036324590687	0.00269657811541799	0.0112836174802943
C1orf112	8.69833975208881	0.274895501097567	0.204457022767843	1.34451483923693	0.178781961139941	0.298947665598935
FGR	8.77494925605514	-0.0591892117464736	0.277542304838524	-0.213261944988568	0.831122654254638	0.884407565097986
CFH	13.257929350526	-1.16314366092135	0.269935259165035	-4.30897269411634	1.64014614518006e-05	0.000162201803243199
FUCA2	14.3259903220269	0.473455613199024	0.198365437012535	2.38678481659637	0.0169964362944166	0.0491063141788578
GCLC	23.2701688976267	-0.502580962784297	0.197016012998673	-2.55096504662128	0.010742509892101	0.0340134381218411
NFYA	15.1944576957106	0.796567920448693	0.248501258070036	3.20548848176935	0.00134833443084917	0.0064199105287023
STPG1	6.60401271340645	-0.441510893645596	0.238594534985758	-1.85046524084028	0.0642465233969756	0.139457636795718
NIPAL3	14.6870350558639	0.299352530114933	0.187450400787603	1.5969692721763	0.110272556871827	0.210167700375851
LAS1L	14.904979506204	0.106014956395157	0.17361196917795	0.610643130753809	0.541435862458164	0.651318947725449
ENPP4	1.42868845895471	-0.377191193073099	0.394119758652497	-0.957047153288439	0.338543455488261	0.46866643562637
SEMA3F	22.0804724763827	-0.0939200060894076	0.245010111093676	-0.383331143642062	0.701474250325352	0.784291804428636
CFTR	4.51752850625336	-0.352077474606231	0.36354811103951	-0.968448092329566	0.332820630956506	0.463397799193983
ANKIB1	21.6190722314197	0.294221775440332	0.26259267884246	1.12044927047204	0.262522358899051	0.392752446008221
CYP51A1	24.3270395514351	-0.343009484714792	0.231215834480785	-1.48350343515637	0.137940704451053	0.247843718546274
KRIT1	29.2034381700924	-0.0216916665856992	0.19347728380893	-0.112114797968329	0.910732384319594	0.940872232006243
RAD52	13.9696448096284	0.104920390307095	0.213179964640522	0.492168157003025	0.622600473196388	0.720369122949719
BAD	25.8563356721244	0.469371844900357	0.260182010857239	1.80401344179748	0.0712291997571625	0.150918818004416
LAP3	33.7901193318877	0.472527584367953	0.243729739653916	1.93873585159907	0.0525335107640481	0.119743634605431
CD99	101.483939390899	-0.14347992634379	0.247522530697717	-0.579664105483037	0.562141153647596	0.669562315352206
HS3ST1	6.37712449145045	0.431134955835468	0.278768374915892	1.5465705389485	0.12196683840107	0.226882866816512
AOC1	1.98364165806179	-0.0649471860381592	0.35689178849429	-0.181980051466492	0.855598381116043	0.90149316432583
WNT16	1.78940832846972	-3.85257270421678	0.740889511281889	-5.19992879579446	1.99364886126807e-07	3.77033593572812e-06
HECW1	5.33246378639638	-1.64169452663337	0.438279153349587	-3.74577370173	0.000179838652938143	0.00120714054864674
MAD1L1	31.3804481670522	0.0708118603709457	0.16450241166999	0.430460925478722	0.66686038469672	0.756355423090512
LASP1	64.4459447764433	0.499007263931809	0.174130445241602	2.86570945844334	0.0041607591854686	0.0159485900471662
SNX11	22.1310211612843	0.501839139495878	0.179323237410265	2.79851706194521	0.00513378570785185	0.0188725930047859
TMEM176A	28.6969337686268	0.164071425938598	0.229330211383411	0.715437468743671	0.474338766921427	0.592961532928458
M6PR	65.6192578903702	0.470983791563778	0.221133783759979	2.1298590543496	0.033183251454572	0.0838025992735005
KLHL13	3.34526581527419	-1.4159773915323	0.328102128330007	-4.31566048882226	1.59126391736192e-05	0.000158412255342444
CYP26B1	9.084862107237	0.124842865091579	0.312819563504404	0.399089058539081	0.689827584018961	0.775269660647166
ICA1	18.2318194161401	0.102634622338978	0.252391647291646	0.406648252588092	0.68426635209205	0.770627288776466
DBNDD1	13.9902420176204	1.86905783977157	0.243830016410479	7.66541325504845	1.78256308998708e-14	2.21119914879647e-12
ALS2	9.87607286314479	-0.547516413375178	0.212708866371196	-2.57401782406058	0.01005250943799	0.0323203440199387
CASP10	19.7904418487946	0.264190771605587	0.265887033009126	0.993620368077592	0.320407724249623	0.45138132402321
CFLAR	150.522197806705	-0.109063190487392	0.154697769123721	-0.70500816595595	0.480805154355314	0.598822986020836
TFPI	41.1654506934737	-1.71990056524544	0.242216506072804	-7.10067448800737	1.24149478661014e-12	9.28904134981512e-11
NDUFAF7	7.99676022801102	0.39897596297437	0.198928212991839	2.00562784420497	0.0448959688574249	0.105986414524446
RBM5	107.027115496596	-0.612662953149629	0.164911064895045	-3.71511125429667	0.000203114308513121	0.00133346806650936
MTMR7	2.06605985730694	-0.301254521062782	0.322216609616481	-0.934944109247971	0.349817103626292	0.479102309063249
SLC7A2	9.14460381255053	-2.38349327647757	0.316995475298935	-7.51901355762214	5.5191062675011e-14	5.98061773986973e-12
ARF5	70.0960430739387	0.723130287328768	0.223849266836323	3.23043402173622	0.00123602428408284	0.00597263912772473
SARM1	10.7253490960016	-0.163423715694313	0.255852135081865	-0.638742825585654	0.522990247985836	0.635196578374255
POLDIP2	19.4698580660612	0.457462712953014	0.223498284330113	2.04682874557251	0.0406749022066553	0.0981214947143233
PLXND1	99.5997872585195	0.353030859239084	0.179438095492512	1.96742424327512	0.0491343217016106	0.113902430209647
AK2	49.2972167997625	0.542411200816698	0.196926489579233	2.75438414596051	0.00588027044540495	0.0209985794030512
CD38	5.91516594619551	0.88261699689326	0.317685781815867	2.7782703772523	0.00546491235975963	0.0198384525497243
FKBP4	55.072383097752	0.782884502290422	0.214632087430624	3.64756505731453	0.000264737291873238	0.00166498386866908
KDM1A	20.3998087489205	0.337165226983078	0.214403411192399	1.57257398615042	0.115817495130141	0.218526855866988
RBM6	76.9687675083474	-0.817502937106896	0.169657833293961	-4.81853929898088	1.44613043968693e-06	2.10391893829453e-05
CAMKK1	16.855014330369	-0.36066891969622	0.234762288474868	-1.53631540244093	0.124461043707306	0.230182734585704
RECQL	6.13953975936637	0.437877003446119	0.199438856112847	2.19554510079199	0.0281245193906479	0.0736366977890453
CCDC132	11.2464398451813	-0.473247938790955	0.229996643256386	-2.05762976402837	0.0396256872410199	0.0961202023580895
HSPB6	78.9394009861973	-3.21482379477353	0.394772843521531	-8.14347756572115	3.84083702850419e-16	7.46587445076768e-14
ARHGAP33	24.7943114553478	0.600193698097934	0.243830373374142	2.46152146589619	0.0138349118579926	0.0417638909834213
NDUFAB1	20.0402160989575	0.730520266222704	0.245779104153759	2.97226352393934	0.00295612835097059	0.0121512535551669
PDK4	25.9001330691362	-1.47937988402331	0.379259118382675	-3.90071012750339	9.59109369655293e-05	0.000709176751562767
SLC22A16	1.52933999694747	-2.82360901345414	0.893424501394496	-3.16043382406339	0.00157534386201719	0.00726414979660897
ZMYND10	3.971807024934	-0.19279493087597	0.261713651768132	-0.736663638191784	0.461326924532431	0.580197382741395
ABCB5	4.52032471092342	-0.616062427576127	0.273206406630573	-2.254934044827	0.0241374689893901	0.0652396757160194
ARX	0.274966595822814	-0.673969769059479	1.62619697228274	-0.414445347363676	0.678547984358751	NA
SLC25A13	8.31130761952761	0.570040886335617	0.185907993563878	3.06625269525999	0.00216760038035285	0.00944300116319694
ST7	10.4663143961318	0.146052849532175	0.171805610615164	0.850105238177149	0.395266579616929	0.519717667969122
CDC27	87.8750497748098	-2.50216218333363	0.395819994700587	-6.32146484976426	2.59095319053709e-10	1.06664677745801e-08
SLC4A1	1.25284460005201	-3.65873188707234	1.36667961552465	-2.67709552810429	0.00742634578387003	0.0252704836229687
CALCR	0.191553731738398	-1.05737203362197	2.93305416973352	-0.360502047501575	0.718471725735392	NA
HCCS	4.27996166192794	0.585808610276651	0.230167627226196	2.54513902470285	0.0109234238462485	0.0344487192675493
DVL2	29.8942838232263	0.0195425289383244	0.163378650117809	0.119614949225206	0.904788176983204	0.936321683700237
PRSS22	18.8779237634735	0.779313555487603	0.347987791517648	2.23948533392178	0.0251243545328272	0.0673200187184202
UPF1	52.4699922857245	0.691370255729768	0.199889779187359	3.4587574139133	0.000542673434047439	0.00302994006483994
SKAP2	10.2870376578722	-0.919619033946646	0.231899360952234	-3.96559537797117	7.32129687651674e-05	0.00056598217550932
