FIPS,State,County,Population_Served,Bladder_Count,Colorectal_Count,Kidney_Count,Total_CWS_County,unweighted,weighted,Percent_Male,Percent_Black,Percent_Same_County_Residence_At_Least_5_Years,Percent_Ever_Had_Endoscopy,Percent_Ever_Smoked,EQI_AIR,EQI_WATER,EQI_LAND,EQI_SD,EQI_BUILT,EQI_OVERALL,unweighted_cat,weighted_cat
6001,California,Alameda,328325,238,506,178,14,13.81761905,14.7014071,49.1,14.9,76,51.2,31.4,1.248785973,1.272580028,1.107635021,-1.271589994,-1.197253942,1.905717015,3,4
6003,California,Alpine,50,0,0,0,5,11,27.11148936,52.6,0.6,68.4,52.7,53.7,-1.253785014,0.237080604,0.746264219,0.465065002,-1.628783941,0.229474396,2,4
6005,California,Amador,5700,14,20,10,25,12.00466667,11.216885,55.1,3.9,70.4,58.3,53.4,-0.507834971,1.228147984,1.141605973,-0.707772493,-0.597835004,0.859964013,2,3
6007,California,Butte,100086,67,105,36,53,19.32434636,11.41161427,49,1.4,75.8,52.2,44.5,0.138751507,0.861382186,1.038305044,0.375839502,-0.919210017,0.689724028,3,3
6009,California,Calaveras,1400,17,23,12,19,13.35683333,13.0144708,49.6,0.7,70.8,51.8,46.4,-0.67825371,0.940576494,0.626450717,-0.491925687,-0.0311065,0.314156115,3,4
6011,California,Colusa,356,3,7,4,10,69.26553333,37.66362305,50.8,0.5,80.1,44.1,38.1,-0.650851786,0.077468701,1.173588037,1.018463969,0.089232199,-0.308233529,4,4
6013,California,Contra Costa,26,224,413,156,42,47.11355556,6.642603707,48.8,9.4,77.3,63.3,38.3,0.776580989,1.280498981,0.959510624,-2.012171984,-0.91038388,1.880560398,4,2
6015,California,Del Norte,112,6,11,5,15,11,7.365886054,55.2,4.3,66.8,43.7,44.2,-0.106086001,0.072521098,0.653762281,0.991512895,-0.707228005,0.03619013,2,3
6017,California,El Dorado,250,52,77,30,19,22.62796491,12.40549041,49.9,0.5,73.7,62,38.7,0.2189354,1.281527996,1.027168036,-1.297327042,-0.912515819,1.43198657,3,3
6019,California,Fresno,90,122,262,124,102,40.87737286,43.27895772,50.1,5.3,86.7,49.9,30.2,0.795352578,1.35421896,1.251387,1.164379001,-0.301578701,0.543767631,4,4
6021,California,Glenn,150,7,16,4,15,25.57934921,12.96082632,50.6,0.6,83,47.3,39.6,-0.250474215,0.041500401,0.95274049,0.785302281,0.62621361,-0.342895031,4,4
6023,California,Humboldt,85,38,52,21,38,12.46763158,7.506506615,49.4,0.9,80.2,53.9,46.4,-0.068056703,0.170267001,0.748553872,0.428440213,-0.948329628,0.397644877,2,3
6025,California,Imperial,45365,18,56,26,9,24.35288889,9.172586003,52.2,4,79.4,44.6,33.2,0.457295805,1.24158299,0.437293112,1.857987046,0.148991898,-0.251740575,4,3
6027,California,Inyo,70,4,8,0,31,75.19357527,28.42386516,48.8,0.2,78.4,53.2,54.4,-0.670818627,1.300986052,0.637194395,-0.025513399,-1.410590053,0.71061182,4,4
6029,California,Kern,175,107,225,116,189,68.82118288,32.15855735,51.3,6,82.1,51.2,34.6,0.999893427,1.424844027,1.151600003,1.077764034,-0.217405304,0.603127956,4,4
6031,California,Kings,24154,13,36,16,16,207.4401979,68.50113905,57.4,8.3,66.5,47.9,34.6,0.499242991,1.284988999,1.054913998,0.984144509,0.282836705,0.229159281,4,4
6033,California,Lake,500,22,36,12,49,16.85837828,12.51651163,49.4,2.1,74.3,50.1,50.9,-0.325196892,1.272891045,1.138648987,0.989631176,-0.393667489,0.206669763,3,3
6035,California,Lassen,62,7,10,4,17,32.74564426,47.52385543,62.8,8.8,60.6,53.1,42.2,-1.231991053,0.245882198,0.911971927,0.422868997,0.572705686,-0.499974966,4,4
6037,California,Los Angeles,115000,"1,454.00","3,317.00",1162,159,22.05177354,19.35308104,49.4,9.8,87.7,49.2,31,2.263422012,1.478176951,1.325963974,0.516825318,-0.928254426,1.576019049,3,4
6039,California,Madera,3210,26,43,20,60,81.20878651,19.96633228,47.9,4.1,77.6,47.8,31.6,0.253669411,0.866957128,0.956893981,1.053504944,0.0583244,0.092876889,4,4
6041,California,Marin,195362,68,109,37,15,18.71466667,11.88398227,49.6,2.9,76.7,62.9,36.1,0.4148435,1.21043098,0.811239779,-3.186212063,-1.928681016,2.520222664,3,3
